Driver,Session,LapNumber,LapTimeSeconds,Compound,FuelRemaining,TyreAge,TrackStatus,Sector1Seconds,Sector2Seconds,Sector3Seconds,LapDeltaToBase,AvgThrottle (%),AvgBrake (0-1)
VER,Race_2025,31.0,78.216,MEDIUM,56.0,1.0,1,23.225,31.434,23.557,0.0,68.73913043478261,0.1705685618729097
VER,Race_2025,32.0,78.455,MEDIUM,54.2,2.0,1,23.331,31.558,23.566,0.23900000000000432,67.0105633802817,0.176056338028169
VER,Race_2025,33.0,78.727,MEDIUM,52.4,3.0,1,23.223,31.744,23.76,0.5110000000000099,66.19587628865979,0.16494845360824742
VER,Race_2025,34.0,78.924,MEDIUM,50.6,4.0,1,23.391,31.799,23.734,0.7080000000000126,66.86666666666666,0.17192982456140352
VER,Race_2025,35.0,79.141,MEDIUM,48.8,5.0,1,23.255,31.951,23.935,0.9250000000000114,66.16723549488054,0.19112627986348124
VER,Race_2025,36.0,79.218,MEDIUM,47.0,6.0,1,23.123,32.125,23.97,1.0020000000000095,64.67434210526316,0.18421052631578946
VER,Race_2025,37.0,79.108,MEDIUM,45.2,7.0,1,23.156,32.017,23.935,0.8920000000000101,64.6103448275862,0.17586206896551723
VER,Race_2025,38.0,79.443,MEDIUM,43.4,8.0,1,23.405,32.084,23.954,1.2270000000000039,65.92123287671232,0.1815068493150685
VER,Race_2025,39.0,79.65,MEDIUM,41.6,9.0,1,23.452,32.135,24.063,1.4340000000000117,64.95221843003414,0.13310580204778158
VER,Race_2025,40.0,79.726,MEDIUM,39.8,10.0,1,23.399,32.217,24.11,1.5100000000000051,65.45454545454545,0.16835016835016836
VER,Race_2025,41.0,79.922,MEDIUM,38.0,11.0,1,23.454,32.369,24.099,1.706000000000003,66.59271523178808,0.17218543046357615
VER,Race_2025,42.0,79.963,MEDIUM,36.2,12.0,1,23.507,32.265,24.191,1.7469999999999999,66.08250825082509,0.1617161716171617
VER,Race_2025,43.0,80.134,MEDIUM,34.4,13.0,1,23.436,32.388,24.31,1.9180000000000064,66.32119205298014,0.16556291390728478
VER,Race_2025,44.0,79.84,MEDIUM,32.599999999999994,14.0,1,23.298,32.335,24.207,1.6240000000000094,65.38907849829351,0.20477815699658702
VER,Race_2025,45.0,80.301,MEDIUM,30.8,15.0,1,23.659,32.452,24.19,2.085000000000008,65.24832214765101,0.1644295302013423
VER,Race_2025,46.0,80.367,MEDIUM,29.0,16.0,1,23.664,32.206,24.497,2.1510000000000105,66.61639344262295,0.16721311475409836
