Driver,Session,LapNumber,LapTimeSeconds,Compound,FuelRemaining,TyreAge,TrackStatus,Sector1Seconds,Sector2Seconds,Sector3Seconds,LapDeltaToBase,AvgThrottle (%),AvgBrake (0-1)
VER,Race_2025,15.0,79.63,SOFT,84.8,1.0,1,23.564,32.246,23.82,0.0,66.06600660066006,0.20132013201320131
VER,Race_2025,16.0,79.45,SOFT,83.0,2.0,1,23.702,31.92,23.828,-0.1799999999999926,65.15460526315789,0.20723684210526316
VER,Race_2025,17.0,80.011,SOFT,81.2,3.0,1,23.623,32.227,24.161,0.3810000000000002,65.49498327759197,0.18729096989966554
VER,Race_2025,18.0,79.786,SOFT,79.39999999999999,4.0,1,23.658,32.131,23.997,0.1560000000000059,67.1938775510204,0.1598639455782313
VER,Race_2025,19.0,80.259,SOFT,77.6,5.0,1,23.733,32.647,23.879,0.6290000000000049,68.19127516778524,0.1610738255033557
VER,Race_2025,20.0,79.84,SOFT,75.8,6.0,1,23.56,32.303,23.977,0.21000000000000796,66.02097902097903,0.17832167832167833
VER,Race_2025,21.0,79.911,SOFT,74.0,7.0,1,23.686,32.317,23.908,0.2810000000000059,66.31164383561644,0.1678082191780822
VER,Race_2025,22.0,79.64,SOFT,72.2,8.0,1,23.583,32.204,23.853,0.010000000000005116,66.53311258278146,0.16887417218543047
VER,Race_2025,23.0,80.183,SOFT,70.39999999999999,9.0,1,23.662,32.527,23.994,0.5530000000000115,66.28716216216216,0.16554054054054054
VER,Race_2025,24.0,79.958,SOFT,68.6,10.0,1,23.6,32.267,24.091,0.32800000000000296,65.66780821917808,0.1815068493150685
VER,Race_2025,25.0,80.124,SOFT,66.8,11.0,1,23.706,32.425,23.993,0.4939999999999998,66.25589225589225,0.16835016835016836
VER,Race_2025,26.0,80.382,SOFT,65.0,12.0,1,23.786,32.502,24.094,0.7520000000000095,66.35664335664336,0.16783216783216784
VER,Race_2025,27.0,80.672,SOFT,63.199999999999996,13.0,1,23.762,32.696,24.214,1.0420000000000016,65.40789473684211,0.16776315789473684
VER,Race_2025,28.0,80.58,SOFT,61.39999999999999,14.0,1,23.74,32.564,24.276,0.9500000000000028,63.369281045751634,0.20261437908496732
